,code,desc,quantity_a,quantity_desc_a,value_a,quantity_b,quantity_desc_b,value_b,value_diff,quantity_diff,quantity_pct,value_pct,value_diff_abs,value_pct_abs
3926,3926,"Articles of plastics and articles of other materials of heading no. 3901 to 3914, n.e.c. in chapter 39",5377462,Weight in kilograms,44.95,1183789,Weight in kilograms,30.08,14.870000000000005,4193673,77.98610199384022,33.08120133481648,14.870000000000005,33.08120133481648
4001,4001,"Natural rubber, balata, gutta-percha, guayule, chicle and similar gums; in primary forms or in plates, sheets or strip",37,Weight in kilograms,0.0,0,Weight in kilograms,0.0,0.0,37,100.0,,0.0,
4002,4002,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of heading no. 4001 and 4002, in primary forms or in plates, sheets or strip",37111837,Weight in kilograms,127.14,37789177,Weight in kilograms,115.15,11.989999999999995,-677340,-1.825131965307996,9.430549001101145,11.989999999999995,9.430549001101145
4004,4004,"Waste, parings and scrap of rubber (other than hard rubber) and powders and granules obtained therefrom",51713,Weight in kilograms,0.0,1204600,Weight in kilograms,0.82,-0.82,-1152887,-2229.394929708197,-inf,0.82,inf
4005,4005,"Compounded rubber, unvulcanised, in primary forms or in plates, sheets or strip",1693014,Weight in kilograms,3.44,882686,Weight in kilograms,1.28,2.16,810328,47.86304188860812,62.7906976744186,2.16,62.7906976744186
4006,4006,"Unvulcanised rubber in other forms (e.g. rods, tubes and profile shapes) and articles (e.g. discs and rings)",10044,Weight in kilograms,0.02,0,Weight in kilograms,0.0,0.02,10044,100.0,100.0,0.02,100.0
4007,4007,Vulcanised rubber thread and cord,4203,Weight in kilograms,0.02,0,Weight in kilograms,0.0,0.02,4203,100.0,100.0,0.02,100.0
4008,4008,"Plates, sheets, strip, rods and profile shapes, of vulcanised rubber other than hard rubber",210607,Weight in kilograms,2.51,217595,Weight in kilograms,2.79,-0.28000000000000025,-6988,-3.318028365628873,-11.155378486055788,0.28000000000000025,11.155378486055788
4009,4009,"Tubes, pipes and hoses, of vulcanised rubber (other than hard rubber), with or without their fittings (e.g. joints, elbows, flanges)",1222632,Weight in kilograms,15.64,830366,Weight in kilograms,11.19,4.450000000000001,392266,32.08373410805541,28.45268542199489,4.450000000000001,28.45268542199489
4010,4010,"Conveyor or transmission belts or belting, of vulcanised rubber",267099,Weight in kilograms,7.31,309741,Weight in kilograms,5.96,1.3499999999999996,-42642,-15.964866959442004,18.46785225718194,1.3499999999999996,18.46785225718194
4012,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",5699,Weight in kilograms,0.02,1983,Weight in kilograms,0.0,0.02,3716,65.20442182839095,100.0,0.02,100.0
4014,4014,"Hygienic or pharmaceutical articles (including teats), of vulcanised rubber other than hard rubber, with or without fittings of hard rubber",8312,Weight in kilograms,0.23,976,Weight in kilograms,0.07,0.16,7336,88.25794032723773,69.56521739130434,0.16,69.56521739130434
4015,4015,"Articles of apparel and clothing accessories (including gloves, mittens and mitts), for all purposes, of vulcanised rubber other than hard rubber",3101,Weight in kilograms,0.07,0,Weight in kilograms,0.0,0.07,3101,100.0,100.0,0.07,100.0
4016,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",8573080,Weight in kilograms,61.12,1125784,Weight in kilograms,32.5,28.619999999999997,7447296,86.86838335813967,46.82591623036649,28.619999999999997,46.82591623036649
4017,4017,"Hard rubber (e.g. ebonite) in all forms, including waste and scrap; articles of hard rubber",8379,Weight in kilograms,0.07,933,Weight in kilograms,0.02,0.05,7446,88.86501969208737,71.42857142857143,0.05,71.42857142857143
4101,4101,"Raw hides and skins of bovine (including buffalo) or equine animals (fresh, salted, dried, limed, pickled, otherwise preserved but not tanned, parchment dressed or further prepared), whether or not dehaired or split",18320,Weight in kilograms,0.02,0,Weight in kilograms,0.0,0.02,18320,100.0,100.0,0.02,100.0
